|   Numero de Cidadao | Aposta               | Data       | Quantia   |
|---------------------|----------------------|------------|-----------|
|            04214617 | 04 25 22 27 05 11 05 | 23-6-2020  | 239€      |
|            69643910 | 12 28 07 45 10 04 02 | 29-8-2020  | 227€      |
|            12765064 | 14 24 04 18 20 08 05 | 15-12-2022 | 766€      |
|            55362604 | 03 49 43 50 38 02 04 | 21-12-2021 | 310€      |
|            21064320 | 31 49 25 03 42 09 06 | 5-3-2021   | 796€      |
|            67305944 | 47 15 39 46 49 10 02 | 16-2-2020  | 217€      |
|            49461512 | 38 43 28 30 31 02 06 | 1-5-2020   | 230€      |
|            38280696 | 17 40 50 26 44 03 10 | 6-9-2021   | 240€      |
|            83069778 | 13 46 45 21 38 02 09 | 19-6-2022  | 64€       |
|            10554884 | 06 29 36 46 39 01 04 | 21-11-2022 | 427€      |
|            66391259 | 19 14 31 32 35 07 02 | 22-8-2022  | 841€      |
|            01436325 | 15 29 03 09 13 01 08 | 26-7-2022  | 384€      |
|            80634394 | 27 08 40 07 26 11 05 | 12-1-2020  | 815€      |
|            32579464 | 18 38 22 29 16 07 02 | 9-7-2021   | 859€      |
|            20272175 | 45 34 01 16 04 02 10 | 27-5-2020  | 437€      |
|            13963448 | 07 34 35 48 46 01 10 | 2-1-2020   | 684€      |
|            22656818 | 12 37 19 28 33 11 09 | 19-2-2020  | 150€      |
|            89901126 | 43 36 26 44 47 01 09 | 18-3-2021  | 209€      |
|            05320929 | 50 36 12 27 19 03 02 | 12-2-2021  | 886€      |
|            62568841 | 36 31 09 23 05 08 09 | 21-7-2022  | 576€      |
|            49979065 | 47 03 31 21 05 04 07 | 22-10-2021 | 76€       |
|            17257623 | 11 43 14 42 16 01 11 | 10-12-2022 | 428€      |
|            27349920 | 37 45 13 50 10 01 08 | 10-6-2020  | 313€      |
|            35459529 | 38 26 04 20 10 07 11 | 22-11-2020 | 913€      |
|            15069118 | 45 36 44 13 47 04 11 | 19-6-2022  | 193€      |
|            57200440 | 42 10 49 20 17 03 10 | 15-1-2021  | 792€      |
|            47034387 | 24 21 30 18 45 10 11 | 27-2-2021  | 521€      |
|            50790210 | 25 39 18 38 36 05 09 | 19-11-2021 | 239€      |
|            34651112 | 20 18 14 26 48 09 04 | 30-5-2021  | 259€      |
|            10851225 | 34 32 02 12 09 01 02 | 25-1-2022  | 156€      |
|            20145618 | 16 34 01 31 24 09 07 | 15-2-2022  | 257€      |
|            06806650 | 50 12 28 20 27 07 02 | 23-11-2020 | 582€      |
|            10792326 | 26 22 17 07 48 01 04 | 25-11-2020 | 880€      |
|            23338742 | 47 08 12 37 05 09 08 | 13-4-2022  | 803€      |
|            76902003 | 42 38 45 14 09 08 09 | 19-6-2022  | 384€      |
|            40639367 | 37 43 24 14 06 03 06 | 12-4-2021  | 647€      |
|            22158337 | 48 10 25 44 09 07 09 | 2-10-2022  | 618€      |
|            82105826 | 25 07 14 28 09 01 05 | 28-9-2022  | 521€      |
|            19573573 | 24 46 23 04 31 01 11 | 27-1-2020  | 232€      |
|            23900578 | 20 45 01 41 31 09 07 | 25-7-2021  | 119€      |
|            62632325 | 46 35 50 11 28 06 02 | 21-12-2022 | 203€      |
|            01709011 | 06 43 16 12 05 01 06 | 13-2-2022  | 80€       |
|            61783011 | 47 03 20 39 30 01 03 | 24-1-2021  | 841€      |
|            12934293 | 14 45 36 24 40 02 08 | 27-3-2022  | 888€      |
|            21233216 | 13 24 23 14 40 10 06 | 24-6-2021  | 439€      |
|            66323388 | 04 29 46 31 16 06 10 | 7-8-2021   | 516€      |
|            77802015 | 01 18 43 08 42 02 01 | 31-7-2020  | 684€      |
|            22325847 | 30 03 47 37 21 06 09 | 11-12-2021 | 607€      |
|            29309139 | 30 26 11 18 34 08 01 | 4-7-2020   | 870€      |
|            66083293 | 26 25 45 31 19 10 09 | 7-7-2020   | 219€      |
|            88111194 | 02 36 47 49 19 03 01 | 8-1-2021   | 946€      |
|            25183861 | 08 41 01 12 02 01 08 | 10-9-2022  | 801€      |
|            91321491 | 40 28 46 27 21 11 10 | 20-6-2020  | 998€      |
|            28654988 | 28 20 38 06 11 08 01 | 14-2-2021  | 895€      |
|            01286058 | 30 25 01 41 42 09 05 | 4-4-2022   | 861€      |
|            58543356 | 12 16 32 21 17 10 08 | 4-8-2022   | 941€      |
|            84904989 | 47 40 33 07 48 09 08 | 30-11-2022 | 303€      |
|            68167838 | 47 03 02 27 29 08 01 | 6-7-2022   | 361€      |
|            17700853 | 47 38 03 25 33 03 09 | 1-4-2021   | 639€      |
|            73099512 | 49 22 03 46 15 06 05 | 30-1-2022  | 649€      |
|            62967907 | 04 38 43 23 28 06 07 | 6-9-2020   | 934€      |
|            03575123 | 47 36 17 46 49 11 08 | 24-5-2021  | 680€      |
|            59865603 | 03 13 44 36 11 07 06 | 12-6-2020  | 245€      |
|            22646930 | 33 25 21 04 30 03 06 | 28-7-2020  | 479€      |
|            57106453 | 14 45 13 22 30 05 01 | 30-3-2020  | 696€      |
|            56827996 | 10 19 11 28 50 10 01 | 19-2-2022  | 167€      |
|            75744841 | 12 40 41 38 47 09 01 | 10-6-2021  | 909€      |
|            29727889 | 41 19 12 39 50 08 10 | 17-7-2021  | 142€      |
|            37689341 | 28 17 33 44 39 05 11 | 1-4-2022   | 114€      |
|            96867142 | 03 40 09 01 21 04 09 | 23-8-2022  | 402€      |
|            71599427 | 43 02 12 35 07 08 11 | 2-9-2021   | 457€      |
|            90504083 | 28 27 46 10 04 08 06 | 19-8-2021  | 575€      |
|            44605299 | 06 49 07 20 25 04 07 | 25-12-2021 | 506€      |
|            71248865 | 34 03 05 26 27 10 05 | 23-10-2021 | 819€      |
|            56964367 | 40 43 22 10 15 11 01 | 16-3-2021  | 983€      |
|            67211854 | 22 28 23 14 26 02 03 | 13-9-2020  | 484€      |
|            17579245 | 29 06 16 09 01 03 07 | 6-9-2021   | 511€      |
|            18560111 | 41 11 19 29 10 10 08 | 3-4-2021   | 894€      |
|            33800165 | 08 33 09 25 30 02 08 | 23-12-2020 | 463€      |
|            02157955 | 30 49 46 36 35 01 11 | 19-6-2022  | 103€      |
|            22641702 | 15 04 26 12 49 04 03 | 1-10-2021  | 515€      |
|            38782677 | 25 44 31 26 20 03 06 | 15-11-2021 | 739€      |
|            48792291 | 45 20 10 01 46 01 02 | 26-1-2021  | 898€      |
|            78917577 | 45 17 31 18 47 07 10 | 24-6-2021  | 163€      |
|            68206087 | 47 41 36 37 13 03 08 | 28-11-2021 | 940€      |
|            10450202 | 47 32 04 34 05 09 04 | 13-11-2020 | 876€      |
|            40479823 | 29 08 17 32 18 02 09 | 24-9-2020  | 501€      |
|            39078228 | 14 44 47 37 43 07 05 | 4-11-2021  | 851€      |
|            24363539 | 12 09 50 03 10 06 09 | 28-6-2021  | 871€      |
|            97075779 | 16 15 38 25 17 01 09 | 24-12-2022 | 56€       |
|            38557809 | 50 24 08 10 42 06 10 | 12-6-2021  | 354€      |
|            88950352 | 16 39 18 09 50 11 04 | 6-12-2022  | 145€      |
|            81789177 | 45 37 33 18 25 08 06 | 24-4-2021  | 790€      |
|            94302472 | 07 22 10 02 39 05 06 | 5-11-2021  | 586€      |
|            93595284 | 16 04 13 30 18 06 05 | 23-10-2021 | 143€      |
|            74053142 | 40 20 29 24 49 01 04 | 11-8-2021  | 305€      |
|            52433788 | 42 50 14 39 36 06 11 | 24-11-2020 | 298€      |
|            92281344 | 39 01 38 12 05 03 10 | 12-9-2020  | 129€      |
|            19181540 | 14 05 30 41 01 04 07 | 9-3-2021   | 263€      |
|            43817076 | 30 11 23 28 12 11 10 | 26-3-2020  | 691€      |
