|   Numero de Cidadao | Nome(s) Próprio(s) e Apelido(s)         | Concelho de Residência   | Profissão                                                                     |
|---------------------|-----------------------------------------|--------------------------|-------------------------------------------------------------------------------|
|            29087877 | Carol Alexander Narvais                 | Santana                  | Corretor de Seguros                                                           |
|            31386854 | Romeu Nivalda Caires                    | Penamacor                | Colhedor de Vidro                                                             |
|            39958233 | Leonardo Sérgio Canela                  | Mora                     | Operador de Fabrico – Queijo Fundido                                          |
|            30184263 | Nicolas Neandro Olivares Caeiro         | São Vicente              | Revestidor Manual                                                             |
|            43547767 | Sidney Orlando Rebouças                 | Redondo                  | Vigilante de Instalação Automática de Estirar Vidro                           |
|            28970465 | Faustino Evelise Azambuja Granjeia      | Paços De Ferreira        | Operador de Instalação Automática de Pintar e Espelhar – Vidro e Cerâmica     |
|            65635050 | Quitéria Furtado                        | Mangualde                | Rendilheiro de Bilros (Rendeiro de Bilros, Feitoreiro de Bilros)              |
|            71094747 | Jorge Honório Alves                     | Penafiel                 | Realizador de Rádio                                                           |
|            48462912 | Vilmar Sueli Cardim                     | Belmonte                 | Outros Trabalhadores do Fabrico e Reparação de Instrumentos de Música         |
|            81761517 | Libânia Castanheda                      | Esposende                | Classificador-Avaliador de Diamantes em Bruto                                 |
|            56184202 | Laurinda Patrício Quintanilla Reino     | Águeda                   | Médico – Saúde Pública                                                        |
|            73902014 | Antero Fernandes                        | Nordeste                 | Engenheiro Electrotécnico– Automação, Controlo, Instrumentação                |
|            15413429 | Serafim Alberto Alvarenga Carvalhais    | Soure                    | Agricultor – Floricultura (Floricultor)                                       |
|            81979073 | Ezequias Lobato                         |                          | Pessoal dos Serviços Directos e Particulares, de Protecção e Segurança        |
|            26321751 | Evandro Soverosa                        | Aveiro                   | Apontador de Cardas                                                           |
|            75691325 | Paulo Prada                             | Peso Da Régua            | Carregador de Fogo                                                            |
|            94903043 | Lucinda Cesário Castanho Póvoas         | Oliveira De Frades       | Agente de Cobrança e Leitura                                                  |
|            36188624 | Aécio Cidália Keil Soares               | Loures                   | Empregados Administrativos dos Serviços Financeiros e Trabalhadores Similares |
|            72312514 | Érica Ondina Onofre                     | Avis                     | Arquitecto                                                                    |
|            08579170 | Marcos Djalma Vigário                   | Lajes Das Flores         | Operador de Carbonatador – Açúcar                                             |
|            86927815 | Estefânia Norma Covelhã Faro            | Caldas Da Rainha         | Anotador – Cinema e Televisão                                                 |
|            37456932 | Nair César Quintal                      | Penafiel                 | Encarregado de Portagem                                                       |
|            47156847 | Aldina Monte                            | Terras De Bouro          | Operador de Máquina de Revestimentos                                          |
|            54048126 | Flôr Dantas                             | Murtosa                  | Engenheiro Mecânico – Concepção                                               |
|            62787312 | Lívia Viriato Quirino Landim            | São Brás De Alportel     | Operador de Câmara                                                            |
|            92136128 | Capitolino Edgar Martins Varanda        | Mira                     | Trabalhadores Florestais e Similares                                          |
|            51817677 | Dácio Elizeu Simões Albuquerque         | Alcácer Do Sal           | Picador de Limas                                                              |
|            07465093 | Judith Loreta Leal Barroso              | Torres Vedras            | Encarregado – Fiação, Torção e Bobinagem                                      |
|            70235381 | Deolinda Mourato                        | Faro                     | Outros Inspectores da Polícia Judiciária e Detectives                         |
|            91717880 | Genoveva Lancelote Ornellas Hernandes   | Ferreira Do Zêzere       | Caricaturista                                                                 |
|            32627775 | Adalgisa Leme                           | Coimbra                  | Verificador – Abrasivos                                                       |
|            75145076 | Efigênia Figueira                       | Torres Novas             | Contactologista                                                               |
|            98727162 | Guido Caetana Quintais                  | Ourém                    | Operador de Penteadeira – Linho e Cânhamo                                     |
|            05789419 | Marília Nádia Alancastre Henriques      | Benavente                | Operador de Ponte Giratória ou Levadiça                                       |
|            64545898 | Melinda Rosinha Vilaça                  | Grândola                 | Condutor de Máquina "Espalhadora"                                             |
|            74885350 | Anastácio Salles                        | Vila Velha De Ródão      | Preparador de Produtos de Clarificação – Açúcar                               |
|            24515535 | Emanuela Alice Azenha                   | Mação                    | Outros Marceneiros, Carpinteiros e Trabalhadores Similares                    |
|            58086716 | Joviano Lousado                         | Águeda                   | Profissionais de Nível Intermédio de Finanças e Serviços Comerciais           |
|            61546766 | Ferdinanda Olívio Regodeiro             | Oliveira De Azeméis      | Comissário de Bordo (Assistente de Bordo)                                     |
|            95585268 | Calisto Aragão                          | Sabrosa                  | Trabalhadores da Preparação do Tabaco                                         |
|            45126786 | Clementina Alexander Mesquita Paulos    | Torres Novas             | Físico – Especialista em Física dos Plasmas                                   |
|            65232785 | Anderson Vasconcellos                   | Olhão                    | Estriador de Cilindros                                                        |
|            63713550 | Clarisse Macedo                         | Corvo                    | Operador de Máquinas – Ferramentas, em geral – Trabalho em Série dos Metais   |
|            95098333 | Salomé Fogaça                           | Nazaré                   | Passamaneiro Manual                                                           |
|            60873742 | Alice Denise                            | Castelo De Vide          | Agente de Navegação                                                           |
|            88234581 | Paulina Granjeia                        | Setúbal                  | Tratador de Animais – Agro-Pecuária                                           |
|            18956651 | Vanderley Deolinda Hollanda             | Vila Flor                | Operador de Câmara de Murchação de Chá                                        |
|            56836762 | Tito Jandira Quintais                   | Benavente                | Soldador a Metal ou Solda Forte                                               |
|            42806221 | Kelly Brites                            | Peniche                  | Técnico de Recursos Humanos                                                   |
|            29797540 | Calebe Ada Torrado Valadares            | Oliveira Do Bairro       | Outros Trefiladores e Estiradores                                             |
|            78315470 | Amadeu Israel Urias Palha               | Gondomar                 | Inspectores das Finanças                                                      |
|            37325157 | Ramom Durval Fontes Figueiroa           | Elvas                    | Laminador de Chapa de Prata                                                   |
|            65175603 | Ludovico Ademar Castanho                | Vila Do Porto            | Contabilista                                                                  |
|            09895363 | Susete Carlos                           | Porto                    | Profissionais da Criação Artística, do Espectáculo e do Desporto              |
|            93139926 | Cinara Gil Cesário Cavadas              | Castro Verde             | Abridor – Amaciador de Juta e Lã                                              |
|            95479563 | Gonçalo Águeda                          | Ferreira Do Alentejo     | Operador de Instalação de Fabrico de Espuma                                   |
|            47241145 | Amilcar Blenda Fontoura                 | Arraiolos                | Planificador                                                                  |
|            67526923 | Custódio Faro                           | Arganil                  | Preparador de Xaropes – Sumos e Refrigerantes                                 |
|            84821227 | Bernardo Roberto Aldeia                 | Mealhada                 | Confeccionador de Carimbos de Borracha – Prensa de Vulcanização               |
|            49837339 | Viriato Castanheda                      | Lajes Das Flores         | Tecelão de Malhas                                                             |
|            76769257 | Xavier Ferdinando Vale                  | Machico                  | Prensador Manual – Vidro                                                      |
|            68557496 | Alexandrina Hildegarda Pinheiro Linares | Ponte De Lima            | Técnico de Manutenção – Electricidade                                         |
|            79897193 | Asdrúbal Eugénia Aleixo                 | Oeiras                   | Macheiro Manual                                                               |
|            06861729 | Heloísa Jacob Loureiro Maior            | Soure                    | Assistente de Realização – Cinema                                             |
|            27073813 | Armando Gildo Ximenes                   | Ponte De Lima            | Empregado de Mesa                                                             |
|            89899690 | Libânia Bryan Varão Aquino              | Elvas                    | Técnico de Formação                                                           |
